id;ime;vrsta;datoteka;gpx_ime;km;km_v_obcini;delez_v_obcini;v_obcini;segmenti;tocke;max_razmik_m;neveljavne_tocke;visina_min;visina_max;cas_prvi;cas_zadnji;zacetek_konec_m;sha256;geometrija_hash
0;Belokranjska kolesarska proga;kolesarstvo;viri/gpx/kolesarstvo/belokranjska_kolesarska_proga.gpx;MTB_Bela_krajina_final;187.65747681725878;81.14312810620814;43.24001872050399;True;2;9171;537.1034234553941;0;130.3;999.5;2021-04-20T19:56:31.225Z;2021-04-21T10:38:00.241Z;;5137698ab5036b83b4652e702f1a1a010cb9a44f5c5ebf18c09c2c1dc2fc5116;de7242072898849c401b180450668b1da88f6deaee4a0fdf71c64e90d18a7eab
1;Kolesarska krožna pot Črnomelj;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_krozna_pot_crnomelj.gpx;New file 1;10.391675642195892;10.3916756421959;100.00000000000007;True;1;388;151.82268284578205;0;147.42;206.51;;;9.906228749125287;aedb552c86cbd5fc53fc3fa7a1d54fe6bf7e20447f15a4a5e4cd8d32e461e816;7de805018adf9a610231c74b6366969863243c4372867ca1b831c608106111b8
2;Kolesarska krožna pot Metlika;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_krozna_pot_metlika.gpx;New file 1;18.222958135914745;0.0;0.0;False;1;718;210.81887421710172;0;137.79;189.14;;;9.72088540253643;2232e65d6c5863bcefcfbce787cbccd242fe78ee0a1444fa5054c4a5e1d1d5d7;f38bfaf61361b0d53ee6fd10813c725127cc9defde5d49046895154b9540d9fa
3;Kolesarska pot Damelj;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_damelj.gpx;Črnomelj Kolesarjenje;68.0101025491136;68.01010254911348;99.99999999999983;True;1;2972;316.5414338934458;0;140.0;625.5;2020-06-23T09:39:59.000Z;2020-06-23T12:25:35.402Z;2.514047845854155;1f8afa2b74881a29a01ee9788a76693e9e3051755f22a708208dee36a0e8fa68;4e5bb65e5735ba51b7498c4cbcb175c3da21c9c14f0adafe46588f8b88a79b3a
4;Kolesarska pot Gače;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_gace.gpx;Semič Kolesarjenje;37.450849595538294;0.0;0.0;False;1;2068;149.93087623555473;0;236.4;937.5;2020-06-20T12:31:10.000Z;2020-06-20T14:10:50.438Z;4.2893155896103305;20c3e7d248bd21396e283635b50e149d0a7dd16a9f12f71f352d3e21519de538;efa3bb58cf210107c34c68a6d623cddca2921fe24f992d666b590bea486ad3f1
5;Kolesarska pot Gradnik;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_gradnik.gpx;Semič Kolesarjenje;26.521670937166657;0.0;0.0;False;1;1503;137.8764190861195;0;169.5;575.8;2020-08-10T16:11:56.000Z;2020-08-10T17:36:07.585Z;6.8622750920019975;085d7f994a675596e03adc3c6cdc02a8bad7d4e12a2ce2d37aded05b720b9dca;4ab9f8a9d860748567d7556aecc6cf9941429a907235105a7cce1df43632bd7d
6;Kolesarska pot Krašnji vrh;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_krasnji_vrh.gpx;Metlika Kolesarjenje;19.337541720883472;0.0;0.0;False;1;1112;103.15624456293281;0;163.6;535.6;2020-06-24T08:19:27.000Z;2020-06-24T09:24:09.840Z;43.97200501680951;b701117e3f297ba6f6e98df6a309a0f6aec2665039944b2da52c0ae179e0a953;3b7a3bc52edcbe51462cc9fdfb96271487ecfe77ac391263fd42e9e2c063af6f
7;Kolesarska pot Krupa;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_krupa.gpx;Semič Kolesarjenje;16.50604293347077;0.0;0.0;False;1;1180;121.136082089385;0;149.8;260.5;2020-07-30T16:49:09.000Z;2020-07-30T17:54:23.888Z;4.046671777859415;4cf9c8267e21586a5adea5146630a302531e0736ad9bc4561e1527f9e2677c66;0d195e41cba983e3a5c18683c69d3387de5d8ca6a04a56b2a41ca1b55a85e917
8;Kolesarska pot Kučar;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_kucar.gpx;Metlika Kolesarjenje;33.681228708980285;0.0;0.0;False;1;1600;215.00169394972934;0;134.8;229.3;2020-06-26T10:30:39.000Z;2020-06-26T11:40:58.392Z;46.896894846297464;6f6fd8aeaad35a5a2354903dc45a0d31d0e18b22ebef7e8364f996074a2dfae5;4e998a9e6d765e4f32efdc75c4811f2f3a072f08706623fca5234ab8a42abb7f
9;Kolesarska pot Mirna gora;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_mirna_gora.gpx;Neimenovano;37.226007688165836;17.610963026642544;47.30822379387483;True;1;2045;212.14815195088596;0;147.5;999.4;2020-08-11T07:52:57.000Z;2020-08-11T09:27:19.462Z;5.876507065155797;10b4be0d05f6b37961784d5ab14ca657c79adc637b8301eae3173d3ff22faeff;11243a328cf79d96737e69efc5ce01bbb8fa29f849786f574ea0aaecf47fd9be
10;Kolesarska pot Mirna gora – Semič;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_mirna_gora_semic.gpx;Semič Kolesarjenje;35.076193584109;3.428006629758797;9.773029167314863;True;1;2064;149.93087623555473;0;225.8;999.2;2020-06-17T15:57:33.000Z;2020-06-17T18:45:33.613Z;4.549112947242854;01f33b5605a5f336bacfe5a306323e4e88a5115b8c8cac616d3a0e5b8dcc865d;1d3befcb5767d13f03a78e9f8435beb92b91d58edbae3351c827a9a15b9e923f
