lokacija,naslov,lat,lon,v_obcini,oznaka_starega_registra,casovna_dostopnost
Gasilski dom Dobliče,Dobliče 22,45.55881,15.14389,True,True,ni preverjena
Planinski dom na Mirni gori,Planina 6,45.62944,15.10311,False,,ni preverjena
Gasilski dom Črnomelj,Belokranjska cesta 10 (intervencijsko vozilo),45.57859,15.19351,True,True,ni preverjena
Gasilski dom Dragatuš,Dragatuš 19,45.520954,15.177785,True,True,ni preverjena
Gradac 117,,45.61373,15.24523,False,,ni preverjena
Iskra,Vajdova ulica 71,45.65913,15.19242,False,,ni preverjena
Gasilski dom Sinji vrh,Sinji vrh 1,45.449706,15.165474,True,True,ni preverjena
UNIOR d.d. obrat Stari trg ob Kolpi,Deskova vas 1A,45.49732,15.07584,True,True,ni preverjena
Gasilski dom Zilje,Zilje 37,45.460715,15.309473,True,True,ni preverjena
Gasilski dom Griblje,Griblje 35 B,45.572227,15.292615,True,True,ni preverjena
Gasilski dom Adlešiči,Adlešiči 13 B,45.521829,15.312044,True,True,ni preverjena
Gasilski dom Vinica,Vinica 44,45.459857,15.251699,True,True,ni preverjena
Gasilski dom Radenci,Srednji Radenci 6,45.467386,15.091123,True,True,ni preverjena
Damelj,Damelj 30,45.433086,15.187784,True,True,ni preverjena
Gasilski dom Butoraj,Butoraj 29,45.543308,15.205634,True,True,ni preverjena
Gasilski dom Tanča Gora,Tanča Gora 17 B,45.533496,15.156058,True,True,ni preverjena
Gasilski dom Preloka,Preloka 17,45.47064,15.341885,True,True,ni preverjena
TGH Črnomelj,Zadružna cesta 14a,45.57865,15.19643,True,True,ni preverjena
Unitplast D.O.O.,Obrtna cona 16,45.6561,15.19465,False,,ni preverjena
Gasilski dom Rosalnice,Rosalnice 45,45.64973,15.3381,False,,ni preverjena
Gasilski dom Lokvica,Dolnja Lokvica 2A,45.67084,15.28343,False,,ni preverjena
Gasilski dom Radovica,Radovica 24B,45.69085,15.35136,False,,ni preverjena
Gasilski dom Podzemelj,Podzemelj 16B,45.60709,15.27397,False,,ni preverjena
Gasilsko vozilo PV1 – PGD Metlika,Črnomaljska cesta 3,45.64649,15.31511,False,,ni preverjena
Prva dolenjska hranilnica,TRG SVOBODE 7,45.65083,15.31682,False,,ni preverjena
