kazalnik,izdaja,obmocje,vrednost
K1.1,2016,Črnomelj,0.9
K1.1,2016,JV Slovenija,
K1.1,2016,Slovenija,1
K1.1,2017,Črnomelj,0.9
K1.1,2017,JV Slovenija,
K1.1,2017,Slovenija,1
K1.1,2018,Črnomelj,0.9
K1.1,2018,JV Slovenija,
K1.1,2018,Slovenija,1
K1.1,2019,Črnomelj,0.87
K1.1,2019,JV Slovenija,
K1.1,2019,Slovenija,1
K1.1,2020,Črnomelj,0.9
K1.1,2020,JV Slovenija,
K1.1,2020,Slovenija,1
K1.1,2021,Črnomelj,0.9
K1.1,2021,JV Slovenija,
K1.1,2021,Slovenija,1
K1.1,2022,Črnomelj,0.9
K1.1,2022,JV Slovenija,
K1.1,2022,Slovenija,1
K1.1,2023,Črnomelj,0.9
K1.1,2023,JV Slovenija,
K1.1,2023,Slovenija,1
K1.1,2024,Črnomelj,0.9
K1.1,2024,JV Slovenija,
K1.1,2024,Slovenija,1
K1.1,2025,Črnomelj,0.91
K1.1,2025,JV Slovenija,
K1.1,2025,Slovenija,1
K1.1,2026,Črnomelj,0.9
K1.1,2026,JV Slovenija,
K1.1,2026,Slovenija,1
K1.5,2016,Črnomelj,55.7
K1.5,2016,JV Slovenija,59.2
K1.5,2016,Slovenija,57.2
K1.5,2017,Črnomelj,54.5
K1.5,2017,JV Slovenija,59.7
K1.5,2017,Slovenija,57.9
K1.5,2018,Črnomelj,57.7
K1.5,2018,JV Slovenija,61.3
K1.5,2018,Slovenija,59.5
K1.5,2019,Črnomelj,62.2
K1.5,2019,JV Slovenija,64.25
K1.5,2019,Slovenija,61.64
K1.5,2020,Črnomelj,66.8
K1.5,2020,JV Slovenija,67.2
K1.5,2020,Slovenija,64.4
K1.5,2021,Črnomelj,66.3
K1.5,2021,JV Slovenija,68.5
K1.5,2021,Slovenija,65.8
K1.5,2022,Črnomelj,64
K1.5,2022,JV Slovenija,67.1
K1.5,2022,Slovenija,64.6
K1.5,2023,Črnomelj,67.2
K1.5,2023,JV Slovenija,68.5
K1.5,2023,Slovenija,66.1
K1.5,2024,Črnomelj,68.94
K1.5,2024,JV Slovenija,69.65
K1.5,2024,Slovenija,67.84
K1.5,2025,Črnomelj,68.68
K1.5,2025,JV Slovenija,70.31
K1.5,2025,Slovenija,68.85
K1.5,2026,Črnomelj,69.3
K1.5,2026,JV Slovenija,70
K1.5,2026,Slovenija,68.58
K2.2,2016,Črnomelj,31.1
K2.2,2016,JV Slovenija,26.8
K2.2,2016,Slovenija,24.6
K2.2,2017,Črnomelj,30.9
K2.2,2017,JV Slovenija,27
K2.2,2017,Slovenija,23.9
K2.2,2018,Črnomelj,28.8
K2.2,2018,JV Slovenija,27.7
K2.2,2018,Slovenija,24.8
K2.2,2019,Črnomelj,30.08
K2.2,2019,JV Slovenija,26.27
K2.2,2019,Slovenija,24.3
K2.2,2020,Črnomelj,30
K2.2,2020,JV Slovenija,26.7
K2.2,2020,Slovenija,24.5
K2.2,2021,Črnomelj,31.7
K2.2,2021,JV Slovenija,27
K2.2,2021,Slovenija,24.1
K2.2,2022,Črnomelj,30.4
K2.2,2022,JV Slovenija,
K2.2,2022,Slovenija,27.8
K2.2,2023,Črnomelj,33.1
K2.2,2023,JV Slovenija,
K2.2,2023,Slovenija,28.7
