Leto meritev;Kaj je bilo mogoče preveriti;Pomembna omejitev ali odstopanje
1996–2010;Poročilo za 2021 vsebuje zgodovinski graf 1996–2021. [@voda-2021-11];"Izvirnih letnih tabel za ta leta nismo pridobili. Deležev ne odčitavamo navidezno natančno iz slike; to so manjkajoči podatki, ne nič neskladnosti."
2011;"VS Črnomelj: objavljenih 116 mikrobioloških, 36 kemijskih in 1 preiskava na parazite; upravljavec navaja zdravstveno ustreznost. [@voda-2011-1]";Vinica je še imela težave z vonjem, okusom in motnostjo ter priporočilo prekuhavanja. Splošna letna ocena zato ne izbriše opisanih težav.
2012;"VS Črnomelj: 116 mikrobioloških, 42 kemijskih in 1 preiskava na parazite; vsi objavljeni rezultati ocenjeni ustrezno. [@voda-2012-2]";Še opisane težave na takrat ločenem sistemu Vinica in ob dežju na sistemu Semič.
2013;"VS Črnomelj: 116 mikrobioloških, 44 kemijskih in 3 preiskave na parazite; ocena ustrezno. [@voda-2013-3]";"Povzetek še opisuje težave Vinice; ne enačimo ocene Črnomlja z neprekinjeno ustreznostjo vseh sistemov."
2014;"VS Črnomelj: 116 mikrobioloških, 44 kemijskih in 3 preiskave na parazite; ocena ustrezno. [@voda-2014-4]";V drugi polovici leta se je območje Vinice začelo oskrbovati iz Dobličice. Sprememba vira omejuje neposredno primerjavo.
2015;"VS Črnomelj: 132 mikrobioloških, 54 kemijskih in 4 preiskave na parazite; po pripravi objavljena skladnost vseh vzorcev. [@voda-2015-5]";Ne gre za dokaz, da je bila tudi surova izvirska voda pitna.
2016;"VS Črnomelj: 129 mikrobioloških, 49 kemijskih in 3 preiskave na parazite; letna ocena ustrezno. [@voda-2016-6]";Kratek povzetek, brez posameznih koncentracij in vseh imenovalcev po odvzemnih mestih.
2017;"VS Črnomelj: 133 mikrobioloških, 51 kemijskih in 2 preiskavi na parazite; letna ocena ustrezno. [@voda-2017-7]";Letna zdravstvena ocena ni isto kot objavljena tabela vseh posameznih rezultatov.
2018;"VS Črnomelj: 122 mikrobioloških in 41 kemijskih vzorcev; 3 mikrobiološka in 1 kemijsko odstopanje, kontrolni vzorci po ukrepih skladni. [@voda-2018-8]";"V povzetku so odstopanja pretežno pripisana hišnim napeljavam. Opisano je tudi onesnaženje surove vode vrtine Damelj; ne mešamo ga z omrežjem Črnomelj."
2019;"VS Črnomelj: 131 mikrobioloških in 47 kemijskih vzorcev; 3 mikrobiološka in 1 kemijsko odstopanje, kontrolni vzorci skladni. [@voda-2019-9]";Letna ocena je ustrezno kljub posamičnim odstopanjem. Podobno besedilo poročil 2018 in 2019 ni dodatna neodvisna verifikacija vzrokov.
2020;"VS Črnomelj: 122 mikrobioloških, 46 kemijskih in 2 preiskavi na parazite; objavljena skladnost vseh preskušanih vzorcev. [@voda-2020-10]";Obseg povzetka ni enak podrobnejšim tabelam od 2021.
2021;"Surovo zajetje: 7/7 rutinskih mikrobioloških vzorcev neustreznih; po pripravi in v omrežju 109/109 ustreznih. [@voda-2021-11]";"5. 10. zaznan Cryptosporidium na zajetju; kontrolna vzorca na Griču in v VVO Čardak 21. 10. brez zaznave. PDF vsebuje dvakrat istih osem strani; ne štejemo dvakrat."
2022;"Surovo zajetje: 9/9 neustreznih; po pripravi in v omrežju 111/111 ustreznih. Pet preiskav na parazite brez zaznave. [@voda-2022-12]";Na dolgih krakih Črnomelj–Dobliče je bilo približno 25 % meritev klordioksida pod priporočeno vrednostjo.
2023;"Surovo zajetje: 5/5 neustreznih; po pripravi in v omrežju 94/94 ustreznih. Štiri preiskave na parazite brez zaznave. [@voda-2023-13]";V poročilu je navedenih 27 % meritev klordioksida pod priporočeno vrednostjo. Podatek 5/5 E. coli je ob napačno izpisanih 89 % računsko 100 %.
2024;"Surovo zajetje: 5/5 neustreznih; po pripravi in v omrežju 114/114 ustreznih. Štiri preiskave na parazite brez zaznave. [@voda-2024-14]";"Ena od treh kemijskih analiz surovega zajetja neustrezna zaradi motnosti; kemijski vzorci po pripravi skladni."
2025;"Surovo zajetje: 4/4 neustreznih; po pripravi in v omrežju 108/108 rutinskih mikrobioloških vzorcev ustreznih. [@voda-2025-15]";Dodatne analize v Adlešičih 6. in 16. oktobra pozitivne na enteroparazite. Letno poročilo izrecno izvzema območje Adlešičev iz splošne ocene ustreznosti.
2026 do 2. 9.;Pregledan seznam 88 povezav do izvidov VS Črnomelj: 86 različnih številk vzorcev, odvzemi 8. 1.–2. 9. 2026. [@komunala-vzorci-crnomelj];"Nepopolno leto in samo ta sistem; ne izračunavamo letnega deleža za občino. Izvid 26/89747, Griblje OŠ, 2. 9.: Giardia in Cryptosporidium 0 v 100 L. [@vzorec-2026-1]"
