naselje,prebivalci_2026,prebivalci_65_2026,zracno_zd_km,cesta_zd_km,voznja_zd_min,voznja_metlika_min,voznja_sbnm_min,zracno_najblizji_aed_km,dostopni_A_srednji_min,dostopni_A_hitra_voznja_min,dostopni_A_pocasna_voznja_min,dostopni_B_druga_ekipa_min
Dalnje Njive,16,5,15.9,25.6,36.8,53.0,74.5,1.87,39.3,31.5,47.2,55.5
Vukovci,33,10,16.36,21.9,36.8,46.8,76.3,2.82,39.3,31.4,47.2,49.3
Selce pri Špeharjih,2,0,14.24,24.5,36.2,57.9,73.8,1.68,38.7,30.9,46.4,60.4
Breg pri Sinjem Vrhu,1,0,15.03,24.4,35.8,57.9,73.4,2.71,38.3,30.6,45.9,60.4
Dolenja Podgora,8,0,10.17,25.0,34.1,51.2,72.5,3.72,36.6,29.3,44.0,53.7
Učakovci,105,33,15.3,20.7,33.9,43.9,73.4,2.73,36.4,29.1,43.7,46.4
Špeharji,11,8,14.7,23.3,33.5,50.6,71.2,2.22,36.0,28.8,43.2,53.1
Hrib,32,9,14.58,23.0,33.3,50.4,71.0,2.63,35.8,28.7,43.0,52.9
Preloka,103,27,16.72,21.8,33.0,29.8,59.3,0.13,35.5,28.4,42.6,32.3
Gorenja Podgora,25,6,10.55,24.3,32.4,49.5,70.8,4.19,34.9,27.9,41.9,52.0
Sodevci,33,12,12.97,22.0,32.3,49.4,70.0,1.23,34.8,27.9,41.8,51.9
Balkovci,44,12,16.79,23.4,31.9,31.3,60.8,1.17,34.4,27.6,41.3,33.8
Gorica,11,3,14.7,23.7,31.6,53.3,69.3,1.0,34.1,27.3,40.9,55.8
Paunoviči,27,12,16.88,20.3,31.1,27.9,57.4,1.28,33.6,26.9,40.3,30.4
Dolenji Radenci,21,5,13.89,19.9,30.3,47.4,68.0,0.52,32.8,26.2,39.3,49.9
Zagozdac,20,4,11.29,23.6,30.3,47.4,68.7,3.34,32.8,26.2,39.3,49.9
Zilje,139,42,15.26,21.2,30.2,33.3,62.8,0.91,32.7,26.2,39.3,35.8
Žuniči,44,13,17.03,19.5,29.9,26.6,56.0,1.93,32.4,25.9,38.9,29.1
Draga pri Sinjem Vrhu,19,5,14.61,21.6,29.0,50.7,66.6,0.83,31.5,25.2,37.8,53.2
Podklanec,87,30,13.42,18.9,28.9,36.2,65.7,1.53,31.4,25.1,37.6,38.7
Golek pri Vinici,54,12,13.16,18.2,28.7,38.0,67.5,0.89,31.2,25.0,37.4,40.5
Sinji Vrh,71,24,13.75,22.0,28.5,50.2,66.1,0.34,31.0,24.8,37.2,52.7
Miliči,20,6,16.44,18.4,28.0,27.9,57.4,2.69,30.5,24.4,36.6,30.4
Sečje selo,100,23,13.91,18.2,28.0,38.2,67.7,0.43,30.5,24.4,36.5,40.7
Vinica,245,55,13.83,17.7,27.0,36.9,66.4,0.18,29.5,23.6,35.4,39.4
