naselje,osrm_min,osrm_km,valhalla_min,valhalla_km,google_min,google_km,google_datum,opomba
Griblje,10.4,10.2,22.2,14.2,,,,
Tribuče,11.2,6.8,13.4,6.8,,,,
Dragatuš,12.8,9.3,14.2,9.3,,,,
Adlešiči,20.0,13.0,24.6,13.0,,,,
Vinica,26.9,17.7,26.4,19.0,,,,
Preloka,33.0,21.8,40.7,19.8,,,,
Učakovci,33.9,20.6,33.2,22.1,,,,
Stari trg ob Kolpi,26.6,18.5,31.9,18.5,,,,
Sinji Vrh,29.8,22.8,35.9,22.8,,,,
Dolenja Podgora,34.2,25.0,41.1,25.9,,,,
Petrova vas,7.2,5.1,8.5,5.1,,,,
Zilje,30.3,21.2,33.5,22.9,,,,
Dobliče,7.5,5.6,8.2,5.7,,,,
Talčji Vrh,8.5,4.5,9.1,4.5,,,,
