naselje,prebivalci_2026,prebivalci_65_2026,voznja_prebivalca_min_spodaj,voznja_prebivalca_min_zgoraj,razdalja_km_OSRM,modela_izbereta_razlicni_poti,nujna_voznja_min_spodaj,nujna_voznja_min_zgoraj,dostopni_cas_NMP_min_spodaj,dostopni_cas_NMP_osrednja,dostopni_cas_NMP_min_zgoraj,vir_casov
Črnomelj,5432,1478,1.5,1.7,0.8,ne,1.3,1.3,3.3,3.3,4.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Svibnik,97,31,2.3,3.3,1.4,ne,1.8,2.7,3.8,4.3,5.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Vojna vas,110,31,3.2,4.3,1.4,ne,2.6,3.4,4.6,5.0,6.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Kanižarica,585,110,5.1,5.2,3.3,ne,3.0,3.6,5.0,5.3,7.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Lokve,544,66,4.3,4.8,2.9,ne,3.5,3.8,5.5,5.7,7.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dolnja Paka,33,11,4.5,5.6,2.5,ne,3.6,4.4,5.6,6.0,8.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Blatnik pri Črnomlju,147,38,6.2,6.5,4.4,ne,3.9,4.7,5.9,6.3,8.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Zajčji Vrh,12,3,4.7,6.0,2.8,ne,3.8,4.8,5.8,6.3,8.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dolenja vas pri Črnomlju,72,11,5.2,7.3,2.2,ne,4.3,5.8,6.3,7.0,9.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dobliče,141,30,7.5,8.2,5.6,ne,5.0,6.0,7.0,7.5,10.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
